bloque,color,flor,uso
G-01,ROJO,CLAVEL,0
G-02,ROJO,CLAVEL,0
G-03,ROJO,CLAVEL,0
G-04,ROJO,CLAVEL,0
G-07,ROJO,CLAVEL,0
G-09,ROJO,CLAVEL,0
G-10,ROJO,CLAVEL,0
G-11,ROJO,CLAVEL,0
G-13,ROJO,CLAVEL,0
G-14,ROJO,CLAVEL,0
G-15,ROJO,CLAVEL,0
G-16,ROJO,CLAVEL,0
G-17,ROJO,CLAVEL,0
G-18,ROJO,CLAVEL,0
G-19,ROJO,CLAVEL,0
G-20,ROJO,CLAVEL,0
G-21,ROJO,CLAVEL,0
G-22,ROJO,CLAVEL,0
G-23,ROJO,CLAVEL,0
G-24,ROJO,CLAVEL,1
G-25,ROJO,CLAVEL,0
G-27,ROJO,CLAVEL,1
G-28,ROJO,CLAVEL,0
G-30,ROJO,CLAVEL,1
G-01,BLANCO,CLAVEL,0
G-02,BLANCO,CLAVEL,0
G-03,BLANCO,CLAVEL,0
G-04,BLANCO,CLAVEL,0
G-07,BLANCO,CLAVEL,0
G-09,BLANCO,CLAVEL,0
G-10,BLANCO,CLAVEL,0
G-11,BLANCO,CLAVEL,0
G-13,BLANCO,CLAVEL,0
G-14,BLANCO,CLAVEL,0
G-15,BLANCO,CLAVEL,0
G-16,BLANCO,CLAVEL,0
G-17,BLANCO,CLAVEL,0
G-18,BLANCO,CLAVEL,0
G-19,BLANCO,CLAVEL,0
G-20,BLANCO,CLAVEL,0
G-21,BLANCO,CLAVEL,0
G-22,BLANCO,CLAVEL,0
G-23,BLANCO,CLAVEL,0
G-24,BLANCO,CLAVEL,1
G-25,BLANCO,CLAVEL,0
G-27,BLANCO,CLAVEL,1
G-28,BLANCO,CLAVEL,0
G-30,BLANCO,CLAVEL,1
G-01,ROSADO,CLAVEL,0
G-02,ROSADO,CLAVEL,0
G-03,ROSADO,CLAVEL,0
G-04,ROSADO,CLAVEL,0
G-07,ROSADO,CLAVEL,0
G-09,ROSADO,CLAVEL,0
G-10,ROSADO,CLAVEL,0
G-11,ROSADO,CLAVEL,0
G-13,ROSADO,CLAVEL,0
G-14,ROSADO,CLAVEL,0
G-15,ROSADO,CLAVEL,0
G-16,ROSADO,CLAVEL,0
G-17,ROSADO,CLAVEL,0
G-18,ROSADO,CLAVEL,0
G-19,ROSADO,CLAVEL,0
G-20,ROSADO,CLAVEL,0
G-21,ROSADO,CLAVEL,0
G-22,ROSADO,CLAVEL,0
G-23,ROSADO,CLAVEL,0
G-24,ROSADO,CLAVEL,1
G-25,ROSADO,CLAVEL,0
G-27,ROSADO,CLAVEL,1
G-28,ROSADO,CLAVEL,0
G-30,ROSADO,CLAVEL,1
G-01,CEREZA,CLAVEL,0
G-02,CEREZA,CLAVEL,0
G-03,CEREZA,CLAVEL,0
G-04,CEREZA,CLAVEL,0
G-07,CEREZA,CLAVEL,0
G-09,CEREZA,CLAVEL,0
G-10,CEREZA,CLAVEL,0
G-11,CEREZA,CLAVEL,0
G-13,CEREZA,CLAVEL,1
G-14,CEREZA,CLAVEL,1
G-15,CEREZA,CLAVEL,0
G-16,CEREZA,CLAVEL,0
G-17,CEREZA,CLAVEL,0
G-18,CEREZA,CLAVEL,0
G-19,CEREZA,CLAVEL,0
G-20,CEREZA,CLAVEL,0
G-21,CEREZA,CLAVEL,0
G-22,CEREZA,CLAVEL,0
G-23,CEREZA,CLAVEL,0
G-24,CEREZA,CLAVEL,0
G-25,CEREZA,CLAVEL,0
G-27,CEREZA,CLAVEL,0
G-28,CEREZA,CLAVEL,0
G-30,CEREZA,CLAVEL,0
G-01,NARANJA,CLAVEL,0
G-02,NARANJA,CLAVEL,0
G-03,NARANJA,CLAVEL,0
G-04,NARANJA,CLAVEL,0
G-07,NARANJA,CLAVEL,0
G-09,NARANJA,CLAVEL,0
G-10,NARANJA,CLAVEL,0
G-11,NARANJA,CLAVEL,0
G-13,NARANJA,CLAVEL,0
G-14,NARANJA,CLAVEL,0
G-15,NARANJA,CLAVEL,0
G-16,NARANJA,CLAVEL,0
G-17,NARANJA,CLAVEL,0
G-18,NARANJA,CLAVEL,0
G-19,NARANJA,CLAVEL,0
G-20,NARANJA,CLAVEL,0
G-21,NARANJA,CLAVEL,0
G-22,NARANJA,CLAVEL,0
G-23,NARANJA,CLAVEL,0
G-24,NARANJA,CLAVEL,1
G-25,NARANJA,CLAVEL,0
G-27,NARANJA,CLAVEL,1
G-28,NARANJA,CLAVEL,0
G-30,NARANJA,CLAVEL,1
G-01,AMARILLO,CLAVEL,0
G-02,AMARILLO,CLAVEL,0
G-03,AMARILLO,CLAVEL,0
G-04,AMARILLO,CLAVEL,0
G-07,AMARILLO,CLAVEL,0
G-09,AMARILLO,CLAVEL,0
G-10,AMARILLO,CLAVEL,0
G-11,AMARILLO,CLAVEL,0
G-13,AMARILLO,CLAVEL,1
G-14,AMARILLO,CLAVEL,1
G-15,AMARILLO,CLAVEL,0
G-16,AMARILLO,CLAVEL,0
G-17,AMARILLO,CLAVEL,0
G-18,AMARILLO,CLAVEL,0
G-19,AMARILLO,CLAVEL,0
G-20,AMARILLO,CLAVEL,0
G-21,AMARILLO,CLAVEL,0
G-22,AMARILLO,CLAVEL,0
G-23,AMARILLO,CLAVEL,0
G-24,AMARILLO,CLAVEL,0
G-25,AMARILLO,CLAVEL,0
G-27,AMARILLO,CLAVEL,0
G-28,AMARILLO,CLAVEL,0
G-30,AMARILLO,CLAVEL,0
G-01,DORADO,CLAVEL,0
G-02,DORADO,CLAVEL,0
G-03,DORADO,CLAVEL,0
G-04,DORADO,CLAVEL,0
G-07,DORADO,CLAVEL,0
G-09,DORADO,CLAVEL,0
G-10,DORADO,CLAVEL,0
G-11,DORADO,CLAVEL,0
G-13,DORADO,CLAVEL,0
G-14,DORADO,CLAVEL,0
G-15,DORADO,CLAVEL,0
G-16,DORADO,CLAVEL,0
G-17,DORADO,CLAVEL,0
G-18,DORADO,CLAVEL,0
G-19,DORADO,CLAVEL,0
G-20,DORADO,CLAVEL,0
G-21,DORADO,CLAVEL,0
G-22,DORADO,CLAVEL,0
G-23,DORADO,CLAVEL,0
G-24,DORADO,CLAVEL,1
G-25,DORADO,CLAVEL,0
G-27,DORADO,CLAVEL,1
G-28,DORADO,CLAVEL,0
G-30,DORADO,CLAVEL,1
G-01,VERDE,CLAVEL,0
G-02,VERDE,CLAVEL,0
G-03,VERDE,CLAVEL,0
G-04,VERDE,CLAVEL,0
G-07,VERDE,CLAVEL,0
G-09,VERDE,CLAVEL,0
G-10,VERDE,CLAVEL,0
G-11,VERDE,CLAVEL,0
G-13,VERDE,CLAVEL,0
G-14,VERDE,CLAVEL,0
G-15,VERDE,CLAVEL,0
G-16,VERDE,CLAVEL,0
G-17,VERDE,CLAVEL,0
G-18,VERDE,CLAVEL,0
G-19,VERDE,CLAVEL,0
G-20,VERDE,CLAVEL,0
G-21,VERDE,CLAVEL,0
G-22,VERDE,CLAVEL,0
G-23,VERDE,CLAVEL,0
