market_code,color,price,default
UK_FIJO,AMARILLO,0.150,1
UK_VALENTINO,AMARILLO,0.150,
UK_MADRES DE INGLATERRA,AMARILLO,0.150,
UK_PRECIO MALO,AMARILLO,0.150,
EU_FIJO,AMARILLO,0.160,1
EU_VALENTINO,AMARILLO,0.160,
EU_EASTER,AMARILLO,0.160,
EU_MADRES,AMARILLO,0.160,1
EU_DIA INTERNACIONAL DE LA MUJER,AMARILLO,0.155,1
EU_SANTOS,AMARILLO,0.160,1
EU_PRECIO MALO,AMARILLO,0.153,
US_FIJO,AMARILLO,0.142,1
US_VALENTINO,AMARILLO,0.142,1
US_ST. PATRICKS,AMARILLO,0.142,
US_EASTER,AMARILLO,0.180,1
US_MADRES,AMARILLO,0.142,1
US_ACCION DE GRACIAS,AMARILLO,0.180,1
US_NAVIDAD,AMARILLO,0.142,
US_PRECIO MALO,AMARILLO,0.140,
RU_FIJO,AMARILLO,0.160,
RU_DIA INTERNACIONAL DE LA MUJER,AMARILLO,0.160,
RU_DIA DE LA VICTORIA,AMARILLO,0.190,
RU_BACK TO SCHOOL,AMARILLO,0.160,
RU_PRECIO MALO,AMARILLO,0.150,
JA_FIJO,AMARILLO,0.170,
JA_OHIGAN,AMARILLO,0.170,
JA_OBON,AMARILLO,0.170,
JA_MADRES,AMARILLO,0.170,
JA_OHIGAN EQUINOXIO OTONO,AMARILLO,0.170,
JA_ANO NUEVO JAPON,AMARILLO,0.170,
JA_PRECIO MALO,AMARILLO,0.175,
UK_FIJO,BICOLOR_AMARILLO,0.15,
UK_VALENTINO,BICOLOR_AMARILLO,0.15,
UK_MADRES DE INGLATERRA,BICOLOR_AMARILLO,0.15,
UK_PRECIO MALO,BICOLOR_AMARILLO,0.15,
EU_FIJO,BICOLOR_AMARILLO,0.16,1
EU_VALENTINO,BICOLOR_AMARILLO,0.16,
EU_EASTER,BICOLOR_AMARILLO,0.155,
EU_MADRES,BICOLOR_AMARILLO,0.16,1
EU_DIA INTERNACIONAL DE LA MUJER,BICOLOR_AMARILLO,0.155,1
EU_SANTOS,BICOLOR_AMARILLO,0.16,
EU_PRECIO MALO,BICOLOR_AMARILLO,0.154,
US_FIJO,BICOLOR_AMARILLO,0.142,
US_VALENTINO,BICOLOR_AMARILLO,0.142,1
US_ST. PATRICKS,BICOLOR_AMARILLO,0.142,
US_EASTER,BICOLOR_AMARILLO,0.18,
US_MADRES,BICOLOR_AMARILLO,0.142,1
US_ACCION DE GRACIAS,BICOLOR_AMARILLO,0.142,1
US_NAVIDAD,BICOLOR_AMARILLO,0.142,
US_PRECIO MALO,BICOLOR_AMARILLO,0.14,
RU_FIJO,BICOLOR_AMARILLO,0.16,1
RU_DIA INTERNACIONAL DE LA MUJER,BICOLOR_AMARILLO,0.16,1
RU_DIA DE LA VICTORIA,BICOLOR_AMARILLO,0.16,1
RU_BACK TO SCHOOL,BICOLOR_AMARILLO,0.16,1
RU_PRECIO MALO,BICOLOR_AMARILLO,0.15,
JA_FIJO,BICOLOR_AMARILLO,0.17,
JA_OHIGAN,BICOLOR_AMARILLO,0.17,
JA_OBON,BICOLOR_AMARILLO,0.17,
JA_MADRES,BICOLOR_AMARILLO,0.17,
JA_OHIGAN EQUINOXIO OTONO,BICOLOR_AMARILLO,0.17,
JA_ANO NUEVO JAPON,BICOLOR_AMARILLO,0.17,
JA_PRECIO MALO,BICOLOR_AMARILLO,0.175,
UK_FIJO,BICOLOR_BURGUNDY,0.15,
UK_VALENTINO,BICOLOR_BURGUNDY,0.15,
UK_MADRES DE INGLATERRA,BICOLOR_BURGUNDY,0.15,
UK_PRECIO MALO,BICOLOR_BURGUNDY,0.15,
EU_FIJO,BICOLOR_BURGUNDY,0.16,1
EU_VALENTINO,BICOLOR_BURGUNDY,0.16,
EU_EASTER,BICOLOR_BURGUNDY,0.155,
EU_MADRES,BICOLOR_BURGUNDY,0.16,1
EU_DIA INTERNACIONAL DE LA MUJER,BICOLOR_BURGUNDY,0.155,1
EU_SANTOS,BICOLOR_BURGUNDY,0.16,
EU_PRECIO MALO,BICOLOR_BURGUNDY,0.153,
US_FIJO,BICOLOR_BURGUNDY,0.142,
US_VALENTINO,BICOLOR_BURGUNDY,0.142,1
US_ST. PATRICKS,BICOLOR_BURGUNDY,0.142,
US_EASTER,BICOLOR_BURGUNDY,0.142,
US_MADRES,BICOLOR_BURGUNDY,0.142,1
US_ACCION DE GRACIAS,BICOLOR_BURGUNDY,0.142,
US_NAVIDAD,BICOLOR_BURGUNDY,0.142,
US_PRECIO MALO,BICOLOR_BURGUNDY,0.14,
RU_FIJO,BICOLOR_BURGUNDY,0.16,1
RU_DIA INTERNACIONAL DE LA MUJER,BICOLOR_BURGUNDY,0.16,1
RU_DIA DE LA VICTORIA,BICOLOR_BURGUNDY,0.16,1
RU_BACK TO SCHOOL,BICOLOR_BURGUNDY,0.16,1
RU_PRECIO MALO,BICOLOR_BURGUNDY,0.15,
JA_FIJO,BICOLOR_BURGUNDY,0.17,
JA_OHIGAN,BICOLOR_BURGUNDY,0.17,
JA_OBON,BICOLOR_BURGUNDY,0.17,
JA_MADRES,BICOLOR_BURGUNDY,0.17,
JA_OHIGAN EQUINOXIO OTONO,BICOLOR_BURGUNDY,0.17,
JA_ANO NUEVO JAPON,BICOLOR_BURGUNDY,0.17,
JA_PRECIO MALO,BICOLOR_BURGUNDY,0.175,
UK_FIJO,BICOLOR_MORADO,0.15,
UK_VALENTINO,BICOLOR_MORADO,0.15,
UK_MADRES DE INGLATERRA,BICOLOR_MORADO,0.15,
UK_PRECIO MALO,BICOLOR_MORADO,0.15,
EU_FIJO,BICOLOR_MORADO,0.16,1
EU_VALENTINO,BICOLOR_MORADO,0.16,
EU_EASTER,BICOLOR_MORADO,0.155,
EU_MADRES,BICOLOR_MORADO,0.16,1
EU_DIA INTERNACIONAL DE LA MUJER,BICOLOR_MORADO,0.155,1
EU_SANTOS,BICOLOR_MORADO,0.16,
EU_PRECIO MALO,BICOLOR_MORADO,0.154,
US_FIJO,BICOLOR_MORADO,0.142,
US_VALENTINO,BICOLOR_MORADO,0.142,1
US_ST. PATRICKS,BICOLOR_MORADO,0.142,
US_EASTER,BICOLOR_MORADO,0.142,
US_MADRES,BICOLOR_MORADO,0.142,1
US_ACCION DE GRACIAS,BICOLOR_MORADO,0.142,
US_NAVIDAD,BICOLOR_MORADO,0.142,
US_PRECIO MALO,BICOLOR_MORADO,0.14,
RU_FIJO,BICOLOR_MORADO,0.16,1
RU_DIA INTERNACIONAL DE LA MUJER,BICOLOR_MORADO,0.16,1
RU_DIA DE LA VICTORIA,BICOLOR_MORADO,0.16,1
RU_BACK TO SCHOOL,BICOLOR_MORADO,0.16,1
