year,company_week,variety_name,farm_name,cuttings,cutting_week
2017,14,Diletta,LA GAITANA,3600,105
2017,14,Chelo,LA GAITANA,3600,105
2017,14,Antigua,LA GAITANA,3400,105
2017,14,Zeppelin,LA GAITANA,3600,105
2017,14,Caroline_Gold,LA GAITANA,4800,105
2017,14,Extasis,LA GAITANA,2400,105
2017,14,Ilusion,LA GAITANA,2400,105
2017,15,Diletta,LA GAITANA,6000,105
2017,15,Zenit,LA GAITANA,4800,105
2017,15,Farieta,LA GAITANA,4800,105
2017,15,Fuente,LA GAITANA,3600,105
2017,17,Hermes,LA GAITANA,4800,105
2017,17,Antigua,LA GAITANA,3400,105
2017,17,Orange_flame,LA GAITANA,6000,105
2017,17,Trueno,LA GAITANA,4000,105
2017,17,Lege_marrone,LA GAITANA,2400,105
2017,18,Sorriso,LA GAITANA,4000,105
2017,18,Armonia,LA GAITANA,3600,105
2017,18,Novia,LA GAITANA,2400,105
2017,19,Diletta,LA GAITANA,3600,105
2017,19,Zenit,LA GAITANA,6000,105
2017,19,Fuente,LA GAITANA,12000,105
2017,20,Chelo,LA GAITANA,6000,105
2017,20,Sorriso,LA GAITANA,4000,105
2017,20,Antigua,LA GAITANA,3400,105
2017,20,Velvet,LA GAITANA,6000,105
2017,20,Zeppelin,LA GAITANA,9600,105
2017,20,Amorosa,LA GAITANA,3600,105
2017,20,Ikebana,LA GAITANA,6000,105
2017,21,Kino,LA GAITANA,2400,105
2017,21,Gransole,LA GAITANA,12000,105
2017,21,Tingua,LA GAITANA,6000,105
2017,21,Ikebana,LA GAITANA,2400,105
2017,22,Armonia,LA GAITANA,3600,105
2017,22,Moonlight,LA GAITANA,6000,105
2017,22,Randal,LA GAITANA,8400,105
2017,22,Bizet,LA GAITANA,2400,105
2017,22,Jobim,LA GAITANA,2400,105
2017,22,Rodas,LA GAITANA,3600,105
2017,22,Farida,LA GAITANA,4800,105
2017,22,Extasis,LA GAITANA,2400,105
2017,22,Lege_marrone,LA GAITANA,4800,105
2017,23,Armonia,LA GAITANA,2400,105
2017,23,Moonlight,LA GAITANA,6000,105
2017,23,Bizet,LA GAITANA,3600,105
2017,23,Jobim,LA GAITANA,4800,105
2017,23,Novia,LA GAITANA,2400,105
2017,23,Farieta,LA GAITANA,4800,105
2017,23,Doncel,LA GAITANA,6000,105
2017,23,Ilusion,LA GAITANA,3600,105
2017,25,Antigua,LA GAITANA,3600,105
2017,26,Chelo,LA GAITANA,2400,105
2017,26,Antigua,LA GAITANA,6000,105
2017,26,Lege_marrone,LA GAITANA,2400,105
2017,27,Hermes,LA GAITANA,2400,105
2017,27,Nautilus,LA GAITANA,2400,105
2017,27,Zeppelin,LA GAITANA,14400,105
2017,27,Zafiro,LA GAITANA,4800,105
2017,28,Ali_baba,LA GAITANA,2400,105
2017,28,Zenit,LA GAITANA,2400,105
2017,28,Kino,LA GAITANA,2400,105
2017,28,Randal,LA GAITANA,6000,105
2017,28,Velvet,LA GAITANA,6000,105
2017,28,Novia,LA GAITANA,2400,105
2017,28,Amorosa,LA GAITANA,3600,105
2017,28,Extasis,LA GAITANA,2400,105
2017,28,Neon,LA GAITANA,2400,105
2017,28,Hawai,LA GAITANA,2400,105
2017,28,Gransole,LA GAITANA,6000,105
2017,28,New_york,LA GAITANA,4800,105
2017,29,Moonlight,LA GAITANA,7200,105
2017,29,Bizet,LA GAITANA,2400,105
2017,29,Jobim,LA GAITANA,8400,105
2017,29,Rodas,LA GAITANA,6000,105
2017,29,Farida,LA GAITANA,7200,105
2017,29,Farieta,LA GAITANA,4800,105
2017,29,Tangelo,LA GAITANA,3600,105
2017,29,Ikebana,LA GAITANA,12000,105
2017,30,Hermes,LA GAITANA,3600,105
2017,30,Armonia,LA GAITANA,3600,105
2017,31,Doncel,LA GAITANA,6000,105
2017,31,Ilusion,LA GAITANA,6000,105
2017,32,Diletta,LA GAITANA,3600,105
2017,32,Chelo,LA GAITANA,2400,105
2017,32,Randal,LA GAITANA,2100,105
2017,32,Zeppelin,LA GAITANA,10800,105
2017,32,Extasis,LA GAITANA,6000,105
2017,32,Tangelo,LA GAITANA,3600,105
2017,32,Tingua,LA GAITANA,6000,105
2017,32,Fuente,LA GAITANA,12000,105
2017,32,Lege_marrone,LA GAITANA,4800,105
2017,33,Rodas,LA GAITANA,4800,105
2017,33,Neon,LA GAITANA,2400,105
2017,33,Tangelo,LA GAITANA,3600,105
2017,33,Hawai,LA GAITANA,1200,105
2017,33,New_york,LA GAITANA,4800,105
2017,34,Bizet,LA GAITANA,2400,105
2017,34,Jobim,LA GAITANA,6000,105
2017,34,Novia,LA GAITANA,4800,105
2017,34,Amorosa,LA GAITANA,4800,105
2017,34,Ikebana,LA GAITANA,12000,105
2017,35,Ali_baba,LA GAITANA,3600,105
2017,35,Farida,LA GAITANA,6000,105
2017,35,Farieta,LA GAITANA,2400,105
2017,35,Extasis,LA GAITANA,6000,105
2017,36,Hermes,LA GAITANA,3600,105
2017,36,Zenit,LA GAITANA,3600,105
2017,36,Antigua,LA GAITANA,6000,105
2017,36,Rodas,LA GAITANA,3600,105
2017,36,Tangelo,LA GAITANA,3600,105
2017,36,Doncel,LA GAITANA,12000,105
2017,36,Ilusion,LA GAITANA,6000,105
2017,37,Randal,LA GAITANA,3600,105
2017,38,Farieta,LA GAITANA,2400,105
2017,39,Diletta,LA GAITANA,4800,105
2017,39,Zeppelin,LA GAITANA,8400,105
2017,39,Novia,LA GAITANA,2400,105
2017,39,Gransole,LA GAITANA,6000,105
2017,39,Ikebana,LA GAITANA,12000,105
2017,40,Chelo,LA GAITANA,3600,105
2017,40,Randal,LA GAITANA,6000,105
2017,40,Novia,LA GAITANA,3600,105
2017,40,Amorosa,LA GAITANA,4800,105
2017,40,Zafiro,LA GAITANA,6000,105
2017,40,Extasis,LA GAITANA,6000,105
2017,40,Hawai,LA GAITANA,1200,105
2017,41,Kino,LA GAITANA,2400,105
2017,41,Moonlight,LA GAITANA,4800,105
2017,41,Bizet,LA GAITANA,6000,105
2017,41,Jobim,LA GAITANA,12000,105
2017,41,Rodas,LA GAITANA,6000,105
2017,41,Gransole,LA GAITANA,6000,105
2017,41,Tingua,LA GAITANA,6000,105
2017,42,Zenit,LA GAITANA,6000,105
2017,42,Moonlight,LA GAITANA,12000,105
2017,42,Tangelo,LA GAITANA,4800,105
