date,color_name,market_code,quantity,Flower,origin
9/01/2017,AMARILLO,UK,3809,CLAVEL,BASE
16/01/2017,AMARILLO,UK,3809,CLAVEL,BASE
6/02/2017,AMARILLO,UK,3809,CLAVEL,BASE
13/02/2017,AMARILLO,UK,3809,CLAVEL,BASE
20/02/2017,AMARILLO,UK,3333,CLAVEL,BASE
13/03/2017,AMARILLO,UK,3809,CLAVEL,BASE
20/03/2017,AMARILLO,UK,3809,CLAVEL,BASE
27/03/2017,AMARILLO,UK,3809,CLAVEL,BASE
3/04/2017,AMARILLO,UK,3809,CLAVEL,BASE
10/04/2017,AMARILLO,UK,3809,CLAVEL,BASE
17/04/2017,AMARILLO,UK,3809,CLAVEL,BASE
24/04/2017,AMARILLO,UK,3809,CLAVEL,BASE
1/05/2017,AMARILLO,UK,3809,CLAVEL,BASE
8/05/2017,AMARILLO,UK,3809,CLAVEL,BASE
15/05/2017,AMARILLO,UK,3809,CLAVEL,BASE
22/05/2017,AMARILLO,UK,3809,CLAVEL,BASE
29/05/2017,AMARILLO,UK,3809,CLAVEL,BASE
5/06/2017,AMARILLO,UK,3809,CLAVEL,BASE
12/06/2017,AMARILLO,UK,3809,CLAVEL,BASE
19/06/2017,AMARILLO,UK,3809,CLAVEL,BASE
26/06/2017,AMARILLO,UK,3809,CLAVEL,BASE
3/07/2017,AMARILLO,UK,3809,CLAVEL,BASE
10/07/2017,AMARILLO,UK,3809,CLAVEL,BASE
17/07/2017,AMARILLO,UK,3809,CLAVEL,BASE
24/07/2017,AMARILLO,UK,3809,CLAVEL,BASE
31/07/2017,AMARILLO,UK,3809,CLAVEL,BASE
7/08/2017,AMARILLO,UK,3809,CLAVEL,BASE
14/08/2017,AMARILLO,UK,3809,CLAVEL,BASE
21/08/2017,AMARILLO,UK,3809,CLAVEL,BASE
28/08/2017,AMARILLO,UK,3809,CLAVEL,BASE
4/09/2017,AMARILLO,UK,5714,CLAVEL,BASE
11/09/2017,AMARILLO,UK,5714,CLAVEL,BASE
18/09/2017,AMARILLO,UK,5714,CLAVEL,BASE
25/09/2017,AMARILLO,UK,5714,CLAVEL,BASE
2/10/2017,AMARILLO,UK,5714,CLAVEL,BASE
9/10/2017,AMARILLO,UK,5714,CLAVEL,BASE
16/10/2017,AMARILLO,UK,5714,CLAVEL,BASE
23/10/2017,AMARILLO,UK,5714,CLAVEL,BASE
30/10/2017,AMARILLO,UK,5714,CLAVEL,BASE
6/11/2017,AMARILLO,UK,5714,CLAVEL,BASE
13/11/2017,AMARILLO,UK,5714,CLAVEL,BASE
20/11/2017,AMARILLO,UK,5714,CLAVEL,BASE
27/11/2017,AMARILLO,UK,5714,CLAVEL,BASE
4/12/2017,AMARILLO,UK,2918,CLAVEL,BASE
11/12/2017,AMARILLO,UK,2918,CLAVEL,BASE
18/12/2017,AMARILLO,UK,3809,CLAVEL,BASE
25/12/2017,AMARILLO,UK,3809,CLAVEL,BASE
1/01/2018,AMARILLO,UK,3809,CLAVEL,BASE
8/01/2018,AMARILLO,UK,3809,CLAVEL,BASE
15/01/2018,AMARILLO,UK,3809,CLAVEL,BASE
5/02/2018,AMARILLO,UK,3809,CLAVEL,BASE
26/02/2018,AMARILLO,UK,3333,CLAVEL,BASE
5/03/2018,AMARILLO,UK,3809,CLAVEL,BASE
12/03/2018,AMARILLO,UK,3809,CLAVEL,BASE
19/03/2018,AMARILLO,UK,3809,CLAVEL,BASE
26/03/2018,AMARILLO,UK,3809,CLAVEL,BASE
2/04/2018,AMARILLO,UK,3809,CLAVEL,BASE
9/04/2018,AMARILLO,UK,3809,CLAVEL,BASE
16/04/2018,AMARILLO,UK,3809,CLAVEL,BASE
23/04/2018,AMARILLO,UK,3809,CLAVEL,BASE
30/04/2018,AMARILLO,UK,3809,CLAVEL,BASE
7/05/2018,AMARILLO,UK,3809,CLAVEL,BASE
14/05/2018,AMARILLO,UK,3809,CLAVEL,BASE
21/05/2018,AMARILLO,UK,3809,CLAVEL,BASE
28/05/2018,AMARILLO,UK,3809,CLAVEL,BASE
4/06/2018,AMARILLO,UK,3809,CLAVEL,BASE
11/06/2018,AMARILLO,UK,3809,CLAVEL,BASE
18/06/2018,AMARILLO,UK,3809,CLAVEL,BASE
25/06/2018,AMARILLO,UK,3809,CLAVEL,BASE
2/07/2018,AMARILLO,UK,3809,CLAVEL,BASE
9/07/2018,AMARILLO,UK,3809,CLAVEL,BASE
16/07/2018,AMARILLO,UK,3809,CLAVEL,BASE
23/07/2018,AMARILLO,UK,3809,CLAVEL,BASE
30/07/2018,AMARILLO,UK,3809,CLAVEL,BASE
6/08/2018,AMARILLO,UK,3809,CLAVEL,BASE
13/08/2018,AMARILLO,UK,3809,CLAVEL,BASE
20/08/2018,AMARILLO,UK,3809,CLAVEL,BASE
27/08/2018,AMARILLO,UK,3809,CLAVEL,BASE
3/09/2018,AMARILLO,UK,5714,CLAVEL,BASE
10/09/2018,AMARILLO,UK,5714,CLAVEL,BASE
17/09/2018,AMARILLO,UK,5714,CLAVEL,BASE
24/09/2018,AMARILLO,UK,5714,CLAVEL,BASE
1/10/2018,AMARILLO,UK,5714,CLAVEL,BASE
8/10/2018,AMARILLO,UK,5714,CLAVEL,BASE
15/10/2018,AMARILLO,UK,5714,CLAVEL,BASE
22/10/2018,AMARILLO,UK,5714,CLAVEL,BASE
29/10/2018,AMARILLO,UK,5714,CLAVEL,BASE
5/11/2018,AMARILLO,UK,5714,CLAVEL,BASE
12/11/2018,AMARILLO,UK,5714,CLAVEL,BASE
19/11/2018,AMARILLO,UK,5714,CLAVEL,BASE
26/11/2018,AMARILLO,UK,5714,CLAVEL,BASE
3/12/2018,AMARILLO,UK,2918,CLAVEL,BASE
10/12/2018,AMARILLO,UK,2918,CLAVEL,BASE
17/12/2018,AMARILLO,UK,3809,CLAVEL,BASE
24/12/2018,AMARILLO,UK,3809,CLAVEL,BASE
9/01/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
16/01/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
6/02/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
13/02/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
20/02/2017,BICOLOR_AMARILLO,UK,2381,CLAVEL,BASE
13/03/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
20/03/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
27/03/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
3/04/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
10/04/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
17/04/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
24/04/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
1/05/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
8/05/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
15/05/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
22/05/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
29/05/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
5/06/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
12/06/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
19/06/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
26/06/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
3/07/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
10/07/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
17/07/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
24/07/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
31/07/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
7/08/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
14/08/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
21/08/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
28/08/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
4/09/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
11/09/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
18/09/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
25/09/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
2/10/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
9/10/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
16/10/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
23/10/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
30/10/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
6/11/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
13/11/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
20/11/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
27/11/2017,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
4/12/2017,BICOLOR_AMARILLO,UK,1459,CLAVEL,BASE
11/12/2017,BICOLOR_AMARILLO,UK,1459,CLAVEL,BASE
18/12/2017,BICOLOR_AMARILLO,UK,1905,CLAVEL,BASE
25/12/2017,BICOLOR_AMARILLO,UK,1905,CLAVEL,BASE
1/01/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
8/01/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
15/01/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
5/02/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
26/02/2018,BICOLOR_AMARILLO,UK,2381,CLAVEL,BASE
5/03/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
12/03/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
19/03/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
26/03/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
2/04/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
9/04/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
16/04/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
23/04/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
30/04/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
7/05/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
14/05/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
21/05/2018,BICOLOR_AMARILLO,UK,2857,CLAVEL,BASE
