variety_name,week_number,cost,production,farm_name,cut
ALI_BABA,1,0,0,LA GAITANA,
AMOROSA,1,0,0,LA GAITANA,
ANTIGUA,1,0,0,LA GAITANA,
ARMONIA,1,0,0,LA GAITANA,
BIZET,1,0,0,LA GAITANA,
CAROLINE_GOLD,1,0,0,LA GAITANA,
CHELO,1,0,0,LA GAITANA,
DILETTA,1,0,0,LA GAITANA,
DONCEL,1,0,0,LA GAITANA,
FARIDA,1,0,0,LA GAITANA,
EXTASIS,1,0,0,LA GAITANA,
FUENTE,1,0,0,LA GAITANA,
GRANSOLE,1,0,0,LA GAITANA,
IKEBANA,1,0,0,LA GAITANA,
ILUSION,1,0,0,LA GAITANA,
JOBIM,1,0,0,LA GAITANA,
NAUTILUS,1,0,0,LA GAITANA,
NEON,1,0,0,LA GAITANA,
LEGE_MARRONE,1,0,0,LA GAITANA,
MOONLIGHT,1,0,0,LA GAITANA,
NEW_YORK,1,0,0,LA GAITANA,
NOVIA,1,0,0,LA GAITANA,
RANDAL,1,0,0,LA GAITANA,
RODAS,1,0,0,LA GAITANA,
HAWAI,1,0,0,LA GAITANA,
SORRISO,1,0,0,LA GAITANA,
TINGUA,1,0,0,LA GAITANA,
ZAFIRO,1,0,0,LA GAITANA,
ZENIT,1,0,0,LA GAITANA,
HERMES,1,0,0,LA GAITANA,
ZEPPELIN,1,0,0,LA GAITANA,
KINO,1,0,0,LA GAITANA,
VELVET,1,0,0,LA GAITANA,
TANGELO,1,0,0,LA GAITANA,
ORANGE_FLAME,1,0,0,LA GAITANA,
TRUENO,1,0,0,LA GAITANA,
AMBROSE,1,0,0,LA GAITANA,
ANDINO,1,0,0,LA GAITANA,
BOUZERON,1,0,0,LA GAITANA,
CAPRICHO,1,0,0,LA GAITANA,
CAROCHE,1,0,0,LA GAITANA,
CAROLINE,1,0,0,LA GAITANA,
DANDY,1,0,0,LA GAITANA,
DANIKO,1,0,0,LA GAITANA,
DILETTA_CREMA,1,0,0,LA GAITANA,
DON_PEDRO,1,0,0,LA GAITANA,
FAITH,1,0,0,LA GAITANA,
FARIETA,1,0,0,LA GAITANA,
FAUSTO,1,0,0,LA GAITANA,
FREDY,1,0,0,LA GAITANA,
GLADYS,1,0,0,LA GAITANA,
GOBI,1,0,0,LA GAITANA,
GOBLIN,1,0,0,LA GAITANA,
GOLEM,1,0,0,LA GAITANA,
HELIOS,1,0,0,LA GAITANA,
ISOLA,1,0,0,LA GAITANA,
KINO_SPORT,1,0,0,LA GAITANA,
KOMACHI,1,0,0,LA GAITANA,
LIGHT_STAR,1,0,0,LA GAITANA,
LIZZY,1,0,0,LA GAITANA,
MADELON,1,0,0,LA GAITANA,
MEGAN,1,0,0,LA GAITANA,
MELODIA,1,0,0,LA GAITANA,
MIZUKI,1,0,0,LA GAITANA,
MONTOYA,1,0,0,LA GAITANA,
PELAYO,1,0,0,LA GAITANA,
POLIMNIA,1,0,0,LA GAITANA,
SOLEX,1,0,0,LA GAITANA,
SUMATRA,1,0,0,LA GAITANA,
TENDERLY,1,0,0,LA GAITANA,
VORAGINE,1,0,0,LA GAITANA,
WALKER,1,0,0,LA GAITANA,
ZAPOTE,1,0,0,LA GAITANA,
ZURIGO,1,0,0,LA GAITANA,
ALI_BABA,2,0,0,LA GAITANA,
AMOROSA,2,0,0,LA GAITANA,
ANTIGUA,2,0,0,LA GAITANA,
ARMONIA,2,0,0,LA GAITANA,
BIZET,2,0,0,LA GAITANA,
CAROLINE_GOLD,2,0,0,LA GAITANA,
CHELO,2,0,0,LA GAITANA,
DILETTA,2,0,0,LA GAITANA,
DONCEL,2,0,0,LA GAITANA,
FARIDA,2,0,0,LA GAITANA,
EXTASIS,2,0,0,LA GAITANA,
FUENTE,2,0,0,LA GAITANA,
GRANSOLE,2,0,0,LA GAITANA,
IKEBANA,2,0,0,LA GAITANA,
ILUSION,2,0,0,LA GAITANA,
JOBIM,2,0,0,LA GAITANA,
NAUTILUS,2,0,0,LA GAITANA,
NEON,2,0,0,LA GAITANA,
LEGE_MARRONE,2,0,0,LA GAITANA,
MOONLIGHT,2,0,0,LA GAITANA,
NEW_YORK,2,0,0,LA GAITANA,
NOVIA,2,0,0,LA GAITANA,
RANDAL,2,0,0,LA GAITANA,
RODAS,2,0,0,LA GAITANA,
HAWAI,2,0,0,LA GAITANA,
SORRISO,2,0,0,LA GAITANA,
TINGUA,2,0,0,LA GAITANA,
ZAFIRO,2,0,0,LA GAITANA,
ZENIT,2,0,0,LA GAITANA,
HERMES,2,0,0,LA GAITANA,
ZEPPELIN,2,0,0,LA GAITANA,
KINO,2,0,0,LA GAITANA,
VELVET,2,0,0,LA GAITANA,
TANGELO,2,0,0,LA GAITANA,
ORANGE_FLAME,2,0,0,LA GAITANA,
TRUENO,2,0,0,LA GAITANA,
AMBROSE,2,0,0,LA GAITANA,
ANDINO,2,0,0,LA GAITANA,
BOUZERON,2,0,0,LA GAITANA,
CAPRICHO,2,0,0,LA GAITANA,
CAROCHE,2,0,0,LA GAITANA,
CAROLINE,2,0,0,LA GAITANA,
DANDY,2,0,0,LA GAITANA,
DANIKO,2,0,0,LA GAITANA,
DILETTA_CREMA,2,0,0,LA GAITANA,
DON_PEDRO,2,0,0,LA GAITANA,
FAITH,2,0,0,LA GAITANA,
FARIETA,2,0,0,LA GAITANA,
FAUSTO,2,0,0,LA GAITANA,
FREDY,2,0,0,LA GAITANA,
GLADYS,2,0,0,LA GAITANA,
GOBI,2,0,0,LA GAITANA,
GOBLIN,2,0,0,LA GAITANA,
GOLEM,2,0,0,LA GAITANA,
HELIOS,2,0,0,LA GAITANA,
ISOLA,2,0,0,LA GAITANA,
KINO_SPORT,2,0,0,LA GAITANA,
KOMACHI,2,0,0,LA GAITANA,
LIGHT_STAR,2,0,0,LA GAITANA,
LIZZY,2,0,0,LA GAITANA,
MADELON,2,0,0,LA GAITANA,
MEGAN,2,0,0,LA GAITANA,
MELODIA,2,0,0,LA GAITANA,
MIZUKI,2,0,0,LA GAITANA,
MONTOYA,2,0,0,LA GAITANA,
PELAYO,2,0,0,LA GAITANA,
POLIMNIA,2,0,0,LA GAITANA,
SOLEX,2,0,0,LA GAITANA,
SUMATRA,2,0,0,LA GAITANA,
TENDERLY,2,0,0,LA GAITANA,
VORAGINE,2,0,0,LA GAITANA,
WALKER,2,0,0,LA GAITANA,
ZAPOTE,2,0,0,LA GAITANA,
ZURIGO,2,0,0,LA GAITANA,
ALI_BABA,3,0,0,LA GAITANA,
AMOROSA,3,0,0,LA GAITANA,
ANTIGUA,3,0,0,LA GAITANA,
ARMONIA,3,0,0,LA GAITANA,
BIZET,3,0,0,LA GAITANA,
CAROLINE_GOLD,3,0,0,LA GAITANA,
CHELO,3,0,0,LA GAITANA,
DILETTA,3,0,0,LA GAITANA,
DONCEL,3,0,0,LA GAITANA,
FARIDA,3,0,0,LA GAITANA,
EXTASIS,3,0,0,LA GAITANA,
FUENTE,3,0,0,LA GAITANA,
GRANSOLE,3,0,0,LA GAITANA,
IKEBANA,3,0,0,LA GAITANA,
ILUSION,3,0,0,LA GAITANA,
JOBIM,3,0,0,LA GAITANA,
NAUTILUS,3,0,0,LA GAITANA,
NEON,3,0,0,LA GAITANA,
LEGE_MARRONE,3,0,0,LA GAITANA,
MOONLIGHT,3,0,0,LA GAITANA,
NEW_YORK,3,0,0,LA GAITANA,
NOVIA,3,0,0,LA GAITANA,
RANDAL,3,0,0,LA GAITANA,
RODAS,3,0,0,LA GAITANA,
HAWAI,3,0,0,LA GAITANA,
SORRISO,3,0,0,LA GAITANA,
TINGUA,3,0,0,LA GAITANA,
ZAFIRO,3,0,0,LA GAITANA,
ZENIT,3,0,0,LA GAITANA,
HERMES,3,0,0,LA GAITANA,
ZEPPELIN,3,0,0,LA GAITANA,
KINO,3,0,0,LA GAITANA,
VELVET,3,0,0,LA GAITANA,
TANGELO,3,0,0,LA GAITANA,
ORANGE_FLAME,3,0,0,LA GAITANA,
TRUENO,3,0,0,LA GAITANA,
AMBROSE,3,0,0,LA GAITANA,
ANDINO,3,0,0,LA GAITANA,
BOUZERON,3,0,0,LA GAITANA,
CAPRICHO,3,0,0,LA GAITANA,
CAROCHE,3,0,0,LA GAITANA,
CAROLINE,3,0,0,LA GAITANA,
DANDY,3,0,0,LA GAITANA,
DANIKO,3,0,0,LA GAITANA,
DILETTA_CREMA,3,0,0,LA GAITANA,
DON_PEDRO,3,0,0,LA GAITANA,
FAITH,3,0,0,LA GAITANA,
FARIETA,3,0,0,LA GAITANA,
FAUSTO,3,0,0,LA GAITANA,
FREDY,3,0,0,LA GAITANA,
GLADYS,3,0,0,LA GAITANA,
GOBI,3,0,0,LA GAITANA,
GOBLIN,3,0,0,LA GAITANA,
GOLEM,3,0,0,LA GAITANA,
HELIOS,3,0,0,LA GAITANA,
ISOLA,3,0,0,LA GAITANA,
KINO_SPORT,3,0,0,LA GAITANA,
KOMACHI,3,0,0,LA GAITANA,
LIGHT_STAR,3,0,0,LA GAITANA,
LIZZY,3,0,0,LA GAITANA,
MADELON,3,0,0,LA GAITANA,
MEGAN,3,0,0,LA GAITANA,
MELODIA,3,0,0,LA GAITANA,
MIZUKI,3,0,0,LA GAITANA,
MONTOYA,3,0,0,LA GAITANA,
PELAYO,3,0,0,LA GAITANA,
POLIMNIA,3,0,0,LA GAITANA,
SOLEX,3,0,0,LA GAITANA,
SUMATRA,3,0,0,LA GAITANA,
TENDERLY,3,0,0,LA GAITANA,
VORAGINE,3,0,0,LA GAITANA,
WALKER,3,0,0,LA GAITANA,
ZAPOTE,3,0,0,LA GAITANA,
ZURIGO,3,0,0,LA GAITANA,
ALI_BABA,4,0,0,LA GAITANA,
AMOROSA,4,0,0,LA GAITANA,
ANTIGUA,4,0,0,LA GAITANA,
ARMONIA,4,0,0,LA GAITANA,
BIZET,4,0,0,LA GAITANA,
CAROLINE_GOLD,4,0,0,LA GAITANA,
CHELO,4,0,0,LA GAITANA,
DILETTA,4,0,0,LA GAITANA,
DONCEL,4,0,0,LA GAITANA,
FARIDA,4,0,0,LA GAITANA,
EXTASIS,4,0,0,LA GAITANA,
FUENTE,4,0,0,LA GAITANA,
GRANSOLE,4,0,0,LA GAITANA,
IKEBANA,4,0,0,LA GAITANA,
ILUSION,4,0,0,LA GAITANA,
JOBIM,4,0,0,LA GAITANA,
NAUTILUS,4,0,0,LA GAITANA,
NEON,4,0,0,LA GAITANA,
LEGE_MARRONE,4,0,0,LA GAITANA,
MOONLIGHT,4,0,0,LA GAITANA,
NEW_YORK,4,0,0,LA GAITANA,
NOVIA,4,0,0,LA GAITANA,
RANDAL,4,0,0,LA GAITANA,
RODAS,4,0,0,LA GAITANA,
HAWAI,4,0,0,LA GAITANA,
SORRISO,4,0,0,LA GAITANA,
TINGUA,4,0,0,LA GAITANA,
ZAFIRO,4,0,0,LA GAITANA,
ZENIT,4,0,0,LA GAITANA,
HERMES,4,0,0,LA GAITANA,
ZEPPELIN,4,0,0,LA GAITANA,
KINO,4,0,0,LA GAITANA,
VELVET,4,0,0,LA GAITANA,
TANGELO,4,0,0,LA GAITANA,
ORANGE_FLAME,4,0,0,LA GAITANA,
TRUENO,4,0,0,LA GAITANA,
AMBROSE,4,0,0,LA GAITANA,
ANDINO,4,0,0,LA GAITANA,
BOUZERON,4,0,0,LA GAITANA,
CAPRICHO,4,0,0,LA GAITANA,
CAROCHE,4,0,0,LA GAITANA,
CAROLINE,4,0,0,LA GAITANA,
DANDY,4,0,0,LA GAITANA,
DANIKO,4,0,0,LA GAITANA,
DILETTA_CREMA,4,0,0,LA GAITANA,
DON_PEDRO,4,0,0,LA GAITANA,
FAITH,4,0,0,LA GAITANA,
FARIETA,4,0,0,LA GAITANA,
FAUSTO,4,0,0,LA GAITANA,
FREDY,4,0,0,LA GAITANA,
GLADYS,4,0,0,LA GAITANA,
GOBI,4,0,0,LA GAITANA,
GOBLIN,4,0,0,LA GAITANA,
GOLEM,4,0,0,LA GAITANA,
HELIOS,4,0,0,LA GAITANA,
ISOLA,4,0,0,LA GAITANA,
