block_name;bed_number;sowing_date;variaty_name;quatity;
G-10;3;31-03-15;MOONLIGHT;1188;
G-10;5;31-03-15;MOONLIGHT;1188;
G-10;7;31-03-15;MOONLIGHT;1188;
G-10;9;31-03-15;MOONLIGHT;1188;
G-10;11;31-03-15;MOONLIGHT;1188;
G-10;13;26-05-15;MOONLIGHT;1206;
G-10;15;26-05-15;MOONLIGHT;1206;
G-10;17;26-05-15;MOONLIGHT;1206;
G-10;19;26-05-15;MOONLIGHT;1206;
G-10;21;26-05-15;MOONLIGHT;1206;
G-10;23;26-05-15;MOONLIGHT;1206;
G-10;29;26-05-15;MOONLIGHT;1164;
G-10;43;26-05-15;MOONLIGHT;1152;
G-10;45;26-05-15;MOONLIGHT;1152;
G-10;47;26-05-15;MOONLIGHT;1152;
G-10;49;26-05-15;MOONLIGHT;1152;
G-10;57;26-05-15;MOONLIGHT;1266;
G-10;59;26-05-15;MOONLIGHT;1266;
G-10;67;30-03-15;MOONLIGHT;1188;
G-10;12;30-03-15;MOONLIGHT;1164;
G-10;14;26-05-15;MOONLIGHT;1180;
G-10;16;26-05-15;MOONLIGHT;1180;
G-10;18;26-05-15;MOONLIGHT;1180;
G-10;20;26-05-15;MOONLIGHT;1180;
G-10;22;30-03-15;MOONLIGHT;1170;
G-10;24;30-03-15;MOONLIGHT;1170;
G-10;26;30-03-15;MOONLIGHT;1170;
G-10;40;26-05-15;MOONLIGHT;1188;
G-10;44;26-05-15;MOONLIGHT;1194;
G-10;46;26-05-15;MOONLIGHT;1194;
G-10;48;30-03-15;MOONLIGHT;1176;
G-10;50;26-05-15;MOONLIGHT;1170;
G-10;52;26-05-15;MOONLIGHT;1170;
G-10;54;26-05-15;MOONLIGHT;1170;
G-10;56;26-05-15;MOONLIGHT;1170;
G-10;76;30-03-15;MOONLIGHT;960;
G-10;78;30-03-15;MOONLIGHT;1036;
G-10;82;30-03-15;MOONLIGHT;1146;
G-13;1;14-11-15;KINO;1332;
G-13;3;14-11-15;KINO;1332;
G-13;5;02-01-16;CHELO;1338;
G-13;7;16-07-16;CHELO;1338;
G-13;9;16-07-16;CHELO;1248;
G-13;11;13-05-16;DILETTA;1338;
G-13;13;13-05-16;DILETTA;1338;
G-13;15;09-04-16;ZENIT;1332;
G-13;17;15-04-16;ZENIT;1150;
G-13;19;13-05-16;DILETTA;1338;
G-13;21;12-12-16;CHELO;1340;
G-13;23;02-01-16;CHELO;1326;
G-13;25;10-12-16;NAUTILUS;1362;
G-13;27;09-05-16;NAUTILUS;1038;
G-13;29;24-11-15;FREDY;1356;
G-13;31;24-11-15;FREDY;1356;
G-13;33;29-09-15;CHELO;1350;
G-13;35;29-09-15;CHELO;1362;
G-13;37;29-11-16;HERMES;1110;
G-13;41;13-05-16;DILETTA;1140;
G-13;43;17-09-16;ZENIT;1150;
G-13;45;02-06-16;KINO;1120;
G-13;47;02-06-16;CHELO;1120;
G-13;49;16-12-16;ALI_BABA;1370;
G-13;51;09-05-16;KINO;1150;
G-13;53;09-08-16;DILETTA;1416;
G-13;55;20-11-15;CHELO;1380;
G-13;57;20-11-15;CHELO;1380;
G-13;59;09-08-16;DILETTA;1416;
G-13;61;08-08-15;KINO;1346;
G-13;63;09-08-16;DILETTA;1416;
G-13;65;08-08-15;KINO;1336;
G-13;67;24-11-15;KINO;1350;
G-13;69;24-11-15;KINO;1350;
G-13;71;24-11-15;KINO;1350;
G-13;73;16-01-16;NAUTILUS;1338;
G-13;75;29-11-16;KINO;1160;
G-13;77;01-08-15;FREDY;1338;
G-13;79;09-08-16;DILETTA;1338;
G-13;81;10-12-16;ALI_BABA;1350;
G-13;83;13-05-16;DILETTA;1278;
G-13;85;13-05-16;ALI_BABA;1326;
G-13;87;13-05-16;FREDY;1326;
G-13;89;08-04-15;KINO_SPORT;1416;
G-13;91;08-04-15;KINO_SPORT;1416;
G-13;93;16-05-15;DANDY;1452;
G-13;95;16-05-15;FREDY;1350;
G-13;97;10-12-16;ALI_BABA;1150;
G-13;99;09-05-16;KINO;1320;
G-13;101;09-05-16;KINO;1320;
G-13;103;18-08-16;HERMES;1320;
G-13;105;30-12-16;HELIOS;1320;
G-13;107;25-08-16;KINO;1344;
G-13;109;19-05-15;NAUTILUS;1344;
G-13;111;10-02-17;DILETTA;1374;
G-13;113;10-02-17;ARMONIA;1374;
G-13;115;24-11-15;FREDY;1344;
G-13;117;17-09-15;ZENIT;1374;
G-13;119;17-09-15;ZENIT;1374;
G-13;121;10-09-16;HELIOS;1374;
G-13;123;10-09-16;HELIOS;1400;
G-13;125;16-11-16;NAUTILUS;1356;
G-13;127;09-03-17;SORRISO;1326;
G-13;129;10-10-15;ZENIT;1150;
G-13;131;10-02-17;ARMONIA;1338;
G-13;133;10-02-17;DILETTA;1344;
G-13;135;25-08-16;FREDY;1360;
G-13;137;09-04-16;KINO;1356;
G-13;139;09-05-16;KINO;1200;
G-13;141;15-04-16;ZENIT;1356;
G-13;143;25-08-16;FREDY;1360;
G-13;145;19-05-15;NAUTILUS;1218;
G-13;147;21-01-17;SORRISO;1374;
G-13;149;03-02-17;HERMES;1374;
G-13;151;16-11-16;HERMES;1338;
G-13;153;16-11-16;HERMES;1338;
G-13;155;17-11-16;HERMES;1372;
G-13;161;16-07-16;ZENIT;1338;
G-13;163;29-08-15;KINO;1356;
G-13;165;29-08-15;KINO;1356;
G-13;167;29-08-15;KINO;1356;
G-13;169;16-07-16;ZENIT;1150;
G-13;171;24-02-17;ARMONIA;1332;
G-13;173;22-04-15;KINO;1362;
G-13;175;19-05-15;KINO;1332;
G-13;177;30-07-15;KINO;1350;
G-13;179;30-07-15;KINO;1350;
G-13;181;13-07-15;KINO;1350;
G-13;183;01-04-17;KINO;1320;
G-13;185;09-03-17;ZENIT;1356;
G-13;187;09-03-17;ZENIT;1356;
G-13;189;15-04-16;ZENIT;1150;
G-13;191;06-03-16;HELIOS;1368;
G-13;193;25-02-16;CHELO;1314;
G-13;197;06-08-16;NAUTILUS;1150;
G-13;199;29-08-15;KINO;1350;
G-13;201;09-03-17;SORRISO;1164;
G-13;203;16-03-17;DILETTA;1386;
G-13;205;06-11-15;ZENIT;960;
G-13;209;01-08-15;FREDY;1332;
G-13;211;10-08-15;KINO;1332;
G-13;213;09-07-16;KINO_SPORT;1410;
G-13;215;25-08-16;ZENIT;1410;
G-13;217;25-02-16;CHELO;1326;
G-13;219;17-02-17;CHELO;1368;
G-13;221;09-07-16;KINO_SPORT;1150;
G-13;223;15-04-16;ZENIT;1290;
G-13;225;19-11-16;ZENIT;1410;
G-13;227;10-12-16;NAUTILUS;1362;
G-13;229;10-12-16;ZENIT;1326;
G-13;231;16-03-17;DILETTA;1138;
G-13;233;07-06-16;CHELO;1350;
G-13;235;16-03-17;DILETTA;1338;
G-13;237;16-03-17;HERMES;1338;
G-13;239;16-03-17;HERMES;1338;
G-13;241;06-11-15;ZENIT;1300;
G-13;243;23-03-17;ARMONIA;1338;
G-13;245;16-07-16;CHELO;1150;
G-13;247;21-01-17;CHELO;1650;
G-13;249;13-05-16;ALI_BABA;1150;
G-13;251;21-01-17;CHELO;1320;
G-13;253;10-03-16;NAUTILUS;1356;
G-13;255;15-04-16;ZENIT;1356;
G-13;2;24-06-15;KINO_SPORT;1344;
G-13;4;24-06-15;KINO_SPORT;1344;
G-13;6;09-08-16;DILETTA;1368;
G-13;8;17-09-16;NAUTILUS;1350;
G-13;10;29-11-16;KINO;1416;
G-13;12;16-07-16;ZENIT;1386;
G-13;14;10-03-15;DANDY;1128;
G-13;16;10-09-16;HERMES;1380;
G-13;18;10-09-16;HERMES;1380;
G-13;20;10-09-16;HERMES;1380;
G-13;22;16-01-16;NAUTILUS;1148;
G-13;24;16-12-16;CHELO;1336;
G-13;26;16-07-16;ZENIT;1326;
G-13;28;16-12-16;CHELO;1216;
G-13;30;17-09-16;NAUTILUS;1150;
G-13;32;09-05-16;NAUTILUS;1350;
G-13;34;10-09-16;HERMES;1350;
G-13;36;10-09-16;HERMES;1350;
G-13;38;13-07-15;KINO;1350;
G-13;40;13-07-15;KINO;1296;
G-13;42;27-09-16;DILETTA;1326;
G-13;44;16-12-16;ALI_BABA;1326;
G-13;46;16-12-16;ALI_BABA;1326;
G-13;48;13-05-16;DILETTA;1350;
G-13;50;22-04-15;NAUTILUS;1368;
G-13;54;16-07-16;FREDY;1380;
G-13;56;16-07-16;FREDY;1380;
G-13;58;22-12-16;FREDY;1374;
G-13;60;22-12-16;FREDY;1344;
G-13;62;27-09-16;DILETTA;1326;
G-13;64;13-08-14;FREDY;1184;
G-13;66;24-11-15;FREDY;1346;
G-13;68;29-11-16;HERMES;1340;
G-13;70;29-11-16;HERMES;1340;
G-13;72;22-12-16;FREDY;1480;
G-13;74;19-05-15;NAUTILUS;1360;
G-13;76;06-08-16;NAUTILUS;1356;
G-13;78;06-08-16;NAUTILUS;1150;
G-13;80;13-07-15;KINO;1332;
G-13;82;09-08-16;DILETTA;1380;
G-13;84;09-08-16;KINO;1380;
G-13;86;30-12-16;SORRISO;1356;
G-13;88;27-09-16;KINO;1368;
G-13;90;10-12-16;ALI_BABA;1350;
G-13;92;01-08-15;KINO_SPORT;1380;
G-13;94;21-08-15;FREDY;1120;
G-13;96;16-01-16;KINO;1338;
G-13;98;16-01-16;KINO;1320;
G-13;100;09-08-16;HERMES;1440;
