code,market_name,name
UK_FIJO,UK,UK FIJO
UK_VALENTINO,UK,UK VALENTINO
UK_MADRES DE INGLATERRA,UK,UK MADRES
UK_PRECIO  MALO,UK,UK PRECIO
EU_FIJO,EU,EU FIJO
EU_VALENTINO,EU,EU VALENTINO
EU_EASTER,EU,EU EASTER
EU_MADRES,EU,EU MADRES
EU_DIA INTERNACIONAL DE LA MUJER,EU,EU DIA
EU_SANTOS,EU,EU SANTOS
EU_PRECIO  MALO,EU,EU PRECIO
US_FIJO,US,US FIJO
US_VALENTINO,US,US VALENTINO
US_ST. PATRICKS,US,US ST
US_EASTER,US,US EASTER
US_MADRES,US,US MADRES
US_ACCION DE GRACIAS,US,US ACCION
US_NAVIDAD,US,US NAVIDAD
US_PRECIO  MALO,US,US PRECIO
RU_FIJO,RU,RU FIJO
RU_DIA INTERNACIONAL DE LA MUJER,RU,RU DIA
RU_DIA DE LA VICTORIA,RU,RU DIA
RU_BACK TO SCHOOL,RU,RU BACK
RU_PRECIO  MALO,RU,RU PRECIO
JA_FIJO,JA,JA FIJO
JA_OHIGAN,JA,JA OHIGAN
JA_OBON,JA,JA OBON
JA_MADRES,JA,JA MADRES
JA_OHIGAN EQUINOXIO OTONO,JA,JA OHIGAN
JA_ANO NUEVO JAPON,JA,JA AN
JA_PRECIO MALO,JA,JA PRECIO
