initial_day,week
01-01-12,1
02-01-12,1
03-01-12,1
04-01-12,1
05-01-12,1
06-01-12,1
07-01-12,1
08-01-12,1
09-01-12,2
10-01-12,2
11-01-12,2
12-01-12,2
13-01-12,2
14-01-12,2
15-01-12,2
16-01-12,3
17-01-12,3
18-01-12,3
19-01-12,3
20-01-12,3
21-01-12,3
22-01-12,3
23-01-12,4
24-01-12,4
25-01-12,4
26-01-12,4
27-01-12,4
28-01-12,4
29-01-12,4
30-01-12,5
31-01-12,5
01-02-12,5
02-02-12,5
03-02-12,5
04-02-12,5
05-02-12,5
06-02-12,6
07-02-12,6
08-02-12,6
09-02-12,6
10-02-12,6
11-02-12,6
12-02-12,6
13-02-12,7
14-02-12,7
15-02-12,7
16-02-12,7
17-02-12,7
18-02-12,7
19-02-12,7
20-02-12,8
21-02-12,8
22-02-12,8
23-02-12,8
24-02-12,8
25-02-12,8
26-02-12,8
27-02-12,9
28-02-12,9
29-02-12,9
01-03-12,9
02-03-12,9
03-03-12,9
04-03-12,9
05-03-12,10
06-03-12,10
07-03-12,10
08-03-12,10
09-03-12,10
10-03-12,10
11-03-12,10
12-03-12,11
13-03-12,11
14-03-12,11
15-03-12,11
16-03-12,11
17-03-12,11
18-03-12,11
19-03-12,12
20-03-12,12
21-03-12,12
22-03-12,12
23-03-12,12
24-03-12,12
25-03-12,12
26-03-12,13
27-03-12,13
28-03-12,13
29-03-12,13
30-03-12,13
31-03-12,13
01-04-12,13
02-04-12,14
03-04-12,14
04-04-12,14
05-04-12,14
06-04-12,14
07-04-12,14
08-04-12,14
09-04-12,15
10-04-12,15
11-04-12,15
12-04-12,15
13-04-12,15
14-04-12,15
15-04-12,15
16-04-12,16
17-04-12,16
18-04-12,16
19-04-12,16
20-04-12,16
21-04-12,16
22-04-12,16
23-04-12,17
24-04-12,17
25-04-12,17
26-04-12,17
27-04-12,17
28-04-12,17
29-04-12,17
30-04-12,18
01-05-12,18
02-05-12,18
03-05-12,18
04-05-12,18
05-05-12,18
06-05-12,18
07-05-12,19
08-05-12,19
09-05-12,19
10-05-12,19
11-05-12,19
12-05-12,19
13-05-12,19
14-05-12,20
15-05-12,20
16-05-12,20
17-05-12,20
18-05-12,20
19-05-12,20
20-05-12,20
21-05-12,21
22-05-12,21
23-05-12,21
24-05-12,21
25-05-12,21
26-05-12,21
27-05-12,21
28-05-12,22
29-05-12,22
30-05-12,22
31-05-12,22
01-06-12,22
02-06-12,22
03-06-12,22
04-06-12,23
05-06-12,23
06-06-12,23
07-06-12,23
08-06-12,23
09-06-12,23
10-06-12,23
11-06-12,24
12-06-12,24
13-06-12,24
14-06-12,24
15-06-12,24
16-06-12,24
17-06-12,24
18-06-12,25
19-06-12,25
20-06-12,25
21-06-12,25
22-06-12,25
23-06-12,25
24-06-12,25
25-06-12,26
26-06-12,26
27-06-12,26
28-06-12,26
29-06-12,26
30-06-12,26
01-07-12,26
02-07-12,27
03-07-12,27
04-07-12,27
05-07-12,27
06-07-12,27
07-07-12,27
08-07-12,27
09-07-12,28
10-07-12,28
11-07-12,28
12-07-12,28
13-07-12,28
14-07-12,28
15-07-12,28
16-07-12,29
17-07-12,29
18-07-12,29
19-07-12,29
20-07-12,29
21-07-12,29
22-07-12,29
23-07-12,30
24-07-12,30
25-07-12,30
26-07-12,30
27-07-12,30
28-07-12,30
29-07-12,30
30-07-12,31
31-07-12,31
01-08-12,31
02-08-12,31
03-08-12,31
04-08-12,31
05-08-12,31
06-08-12,32
07-08-12,32
08-08-12,32
09-08-12,32
10-08-12,32
11-08-12,32
12-08-12,32
13-08-12,33
14-08-12,33
15-08-12,33
16-08-12,33
17-08-12,33
18-08-12,33
19-08-12,33
20-08-12,34
21-08-12,34
22-08-12,34
23-08-12,34
24-08-12,34
25-08-12,34
26-08-12,34
27-08-12,35
28-08-12,35
29-08-12,35
30-08-12,35
31-08-12,35
01-09-12,35
02-09-12,35
03-09-12,36
04-09-12,36
05-09-12,36
06-09-12,36
07-09-12,36
08-09-12,36
09-09-12,36
10-09-12,37
11-09-12,37
12-09-12,37
13-09-12,37
14-09-12,37
15-09-12,37
16-09-12,37
17-09-12,38
18-09-12,38
19-09-12,38
20-09-12,38
21-09-12,38
22-09-12,38
23-09-12,38
24-09-12,39
25-09-12,39
26-09-12,39
27-09-12,39
28-09-12,39
29-09-12,39
30-09-12,39
01-10-12,40
02-10-12,40
03-10-12,40
04-10-12,40
05-10-12,40
06-10-12,40
07-10-12,40
08-10-12,41
09-10-12,41
10-10-12,41
11-10-12,41
12-10-12,41
13-10-12,41
14-10-12,41
15-10-12,42
16-10-12,42
17-10-12,42
18-10-12,42
19-10-12,42
20-10-12,42
21-10-12,42
22-10-12,43
23-10-12,43
24-10-12,43
25-10-12,43
26-10-12,43
27-10-12,43
28-10-12,43
29-10-12,44
30-10-12,44
31-10-12,44
01-11-12,44
02-11-12,44
03-11-12,44
04-11-12,44
05-11-12,45
06-11-12,45
07-11-12,45
08-11-12,45
