initial_day,week
1/01/2012,1
2/01/2012,1
3/01/2012,1
4/01/2012,1
5/01/2012,1
6/01/2012,1
7/01/2012,1
8/01/2012,1
9/01/2012,2
10/01/2012,2
11/01/2012,2
12/01/2012,2
13/01/2012,2
14/01/2012,2
15/01/2012,2
16/01/2012,3
17/01/2012,3
18/01/2012,3
19/01/2012,3
20/01/2012,3
21/01/2012,3
22/01/2012,3
23/01/2012,4
24/01/2012,4
25/01/2012,4
26/01/2012,4
27/01/2012,4
28/01/2012,4
29/01/2012,4
30/01/2012,5
31/01/2012,5
1/02/2012,5
2/02/2012,5
3/02/2012,5
4/02/2012,5
5/02/2012,5
6/02/2012,6
7/02/2012,6
8/02/2012,6
9/02/2012,6
10/02/2012,6
11/02/2012,6
12/02/2012,6
13/02/2012,7
14/02/2012,7
15/02/2012,7
16/02/2012,7
17/02/2012,7
18/02/2012,7
19/02/2012,7
20/02/2012,8
21/02/2012,8
22/02/2012,8
23/02/2012,8
24/02/2012,8
25/02/2012,8
26/02/2012,8
27/02/2012,9
28/02/2012,9
29/02/2012,9
1/03/2012,9
2/03/2012,9
3/03/2012,9
4/03/2012,9
5/03/2012,10
6/03/2012,10
7/03/2012,10
8/03/2012,10
9/03/2012,10
10/03/2012,10
11/03/2012,10
12/03/2012,11
13/03/2012,11
14/03/2012,11
15/03/2012,11
16/03/2012,11
17/03/2012,11
18/03/2012,11
19/03/2012,12
20/03/2012,12
21/03/2012,12
22/03/2012,12
23/03/2012,12
24/03/2012,12
25/03/2012,12
26/03/2012,13
27/03/2012,13
28/03/2012,13
29/03/2012,13
30/03/2012,13
31/03/2012,13
1/04/2012,13
2/04/2012,14
3/04/2012,14
4/04/2012,14
5/04/2012,14
6/04/2012,14
7/04/2012,14
8/04/2012,14
9/04/2012,15
10/04/2012,15
11/04/2012,15
12/04/2012,15
13/04/2012,15
14/04/2012,15
15/04/2012,15
16/04/2012,16
17/04/2012,16
18/04/2012,16
19/04/2012,16
20/04/2012,16
21/04/2012,16
22/04/2012,16
23/04/2012,17
24/04/2012,17
25/04/2012,17
26/04/2012,17
27/04/2012,17
28/04/2012,17
29/04/2012,17
30/04/2012,18
1/05/2012,18
2/05/2012,18
3/05/2012,18
4/05/2012,18
5/05/2012,18
6/05/2012,18
7/05/2012,19
